# POINT CLOUD FOR CEREBELLAR FLATMAP MAPPING
#
# Coordinates in millimeters, registered to the standard marmoset cerebellum atlas.
#
# X (Sagittal): world-space sagittal axis (mm)
#   — positive values increase toward patient right.
# Y (Coronal): world-space coronal axis (mm)
#   — positive values increase toward posterior side.
# Z (Axial): world-space axial axis (mm)
#   — positive values increase toward inferior (downward).
#
# Comments start with '#' as in standard CSV.
# Columns must appear in X, Y, Z order. Example headers:
#   X_sagittal, Y_coronal, Z_axial
#
# Standard atlas reference:
#   Schaeffer DJ, Klassen LM, Hori Y, et al. An open access resource for functional brain connectivity from fully awake marmosets. NeuroImage. 2022;252:119030. doi:10.1016/j.neuroimage.2022.119030
#
X_sagittal,Y_coronal,Z_axial
1.01,1.57,4.49
4.95,-4.06,8.47
2.29,-3.27,2.24
0.92,-7.85,5.32
-1.94,-1.9,1.01
3.31,-6.97,5.74
-1.62,-2.36,1.9
9.12,-9.21,8.4
10.82,-9.38,9.56
-2.9,-5.05,14.57
6.76,-4.89,3.07
0.54,-7.56,3.25
1.47,-9.85,14.0
9.92,-11.4,12.79
-10.28,-11.64,9.19
-9.9,-7.5,12.46
-11.48,-4.3,3.28
7.72,0.14,12.93
6.44,-4.08,12.83
8.61,3.13,3.84
11.17,-11.47,7.62
6.93,-9.02,13.74
-1.05,-6.37,10.1
6.49,-2.36,9.83
-9.16,2.27,8.37
3.17,-6.18,4.14
-8.57,-7.56,14.45
10.37,-11.02,6.74
0.38,1.74,4.76
-2.16,-5.68,10.82
-5.71,-2.46,9.06
6.34,4.46,5.21
-1.18,-12.03,4.65
1.48,-9.62,3.35
-11.52,1.03,1.38
2.64,1.47,9.33
2.51,0.86,7.58
2.62,-3.04,3.65
10.35,4.38,1.04
4.16,-5.4,0.51
-3.46,-1.95,10.96
-1.63,-11.0,2.97
4.53,-5.17,4.11
-10.54,0.08,0.44
3.8,-8.05,2.43
3.89,3.8,12.94
-6.99,-0.52,3.75
-8.91,-7.23,14.09
-4.5,0.86,2.63
-3.36,-10.66,3.92
1.52,4.32,12.84
-1.59,-11.23,6.43
11.41,3.62,4.13
-9.55,-7.81,10.3
-7.02,0.67,0.98
-8.15,-12.06,13.17
3.48,-7.79,12.46
-5.97,0.52,1.49
-0.94,-3.12,11.84
-6.18,-10.13,14.2
-8.2,-5.45,7.38
-9.35,-5.75,8.49
3.56,-2.51,10.11
-8.69,-0.84,4.11
-7.31,2.07,9.67
-3.24,-3.71,7.14
7.45,-5.47,6.13
-9.66,-9.64,13.35
7.85,1.46,11.83
-9.69,-0.08,13.81
11.12,-5.19,12.39
-0.88,-3.35,0.85
11.13,-0.88,9.05
2.34,-9.29,10.37
5.52,-11.6,9.89
-11.03,-6.73,4.19
-5.27,-2.05,6.42
-9.12,-3.89,0.81
-4.96,-0.43,1.61
-9.15,1.71,8.38
-4.44,-3.85,8.7
-2.17,-9.8,3.16
-10.44,2.23,6.75
4.41,-2.4,7.09
1.43,0.37,0.4
-5.69,-0.22,2.31
0.41,4.21,9.3
-9.74,-7.1,14.66
1.66,-0.21,9.68
10.01,-5.92,1.99
-4.43,-5.42,12.17
3.82,-8.19,6.51
-8.84,-6.28,1.46
4.97,3.87,8.95
-5.12,-7.14,3.55
-7.63,-7.93,6.29
1.91,-2.26,4.86
-11.48,-7.72,9.57
7.64,-4.11,6.5
-11.85,1.95,1.75
4.06,-8.19,3.37
-5.58,-4.89,7.51
5.42,-1.8,11.7
10.79,-2.89,0.38
-6.08,4.32,9.13
1.66,-0.63,1.92
2.04,0.37,9.01
1.57,4.18,12.39
-6.69,-5.1,3.56
10.56,-6.09,7.43
-1.39,-11.32,11.48
8.05,-8.97,2.79
4.58,-8.08,2.46
-4.93,-8.98,13.38
7.28,0.62,10.33
-2.59,-3.06,10.94
8.87,-0.84,12.49
1.78,1.72,8.07
8.88,-8.18,7.33
4.41,-6.58,8.32
5.19,-0.16,10.65
-0.11,-5.46,5.92
10.64,-11.57,1.62
3.26,-4.75,2.21
-1.94,3.2,14.38
2.38,-5.19,0.99
-11.51,-6.48,10.57
-4.83,4.56,13.94
3.65,-1.23,2.12
-5.1,-5.91,10.73
2.65,-10.35,4.63
-1.82,1.18,3.68
-8.76,-0.16,12.62
-4.91,3.43,13.44
1.51,-8.41,5.28
2.01,-10.13,9.43
1.62,0.1,2.79
3.48,-8.64,11.71
3.46,-9.1,13.04
-1.76,-6.69,4.87
9.23,1.66,9.72
-3.27,-3.0,12.97
-1.66,-11.29,0.46
9.13,-4.27,12.67
7.1,-0.57,8.55
4.68,-3.02,6.25
-9.59,-2.44,7.83
9.78,-8.28,12.21
4.92,2.18,10.73
11.65,-2.63,7.52
-8.43,-0.08,7.32
8.56,4.44,13.3
-8.12,-4.87,3.61
2.59,2.74,1.63
-9.03,-11.94,10.09
8.09,-11.5,10.44
7.13,-2.14,8.49
1.49,-6.83,4.05
-2.33,-7.89,4.54
-10.32,-7.39,9.2
4.53,-6.71,4.2
-1.24,0.19,7.49
5.11,-2.5,5.06
8.52,1.2,7.65
11.1,1.89,3.57
8.27,2.1,3.12
-11.68,-5.09,10.9
-3.45,-4.98,5.84
5.3,3.5,3.62
-7.9,-0.94,12.7
0.36,-10.71,6.07
-10.68,-2.95,1.92
-7.23,-6.08,10.52
-11.52,4.53,4.31
6.8,-11.83,8.45
-6.67,-1.78,9.3
-3.8,0.1,14.22
9.98,-7.21,3.01
4.69,4.3,4.37
-11.21,2.38,13.78
-8.07,3.32,10.67
2.73,-11.74,6.76
1.69,-2.49,10.91
-6.34,-7.11,6.24
10.12,2.2,6.19
2.55,-1.43,2.51
0.7,-3.01,7.82
1.99,-10.13,4.05
5.3,-2.98,9.44
-4.59,-1.44,6.03
-2.55,4.0,12.64
-7.0,-2.23,11.44
-7.56,4.19,2.39
10.36,4.09,8.82
5.52,-1.14,10.6
-0.37,-3.56,7.71
-6.58,-4.23,1.89
-5.95,2.9,7.55
-10.59,-11.59,6.53
-1.69,-10.15,4.97
-4.59,-10.35,8.7
4.5,0.66,4.96
-3.03,-6.35,3.66
-7.71,-1.34,10.93
-11.38,-1.92,3.34
-10.37,-5.58,11.93
4.1,-3.13,14.46
-1.23,-1.22,6.65
0.72,3.75,12.04
9.24,-2.39,2.68
11.45,-1.74,11.82
-6.83,-10.92,14.22
3.72,3.94,7.75
-5.74,-3.19,3.95
-11.47,1.4,2.58
5.97,-11.22,13.55
-4.39,-4.99,4.95
-2.89,-7.74,7.46
1.95,-7.57,6.53
7.69,1.24,6.56
2.91,-1.58,11.35
8.67,-4.67,13.82
-5.49,-11.88,9.49
6.91,4.15,14.14
-7.57,4.1,3.01
10.56,-8.41,8.43
4.29,-11.37,10.19
-6.87,-3.15,10.62
10.44,3.92,11.21
5.32,3.23,5.08
-5.96,-2.24,13.05
-6.92,-6.96,2.15
0.29,-6.52,4.28
-11.35,3.02,7.05
-7.06,-3.8,8.84
-1.92,-9.86,4.53
-3.11,-7.89,13.42
-1.0,-7.41,6.8
-5.4,-9.98,1.7
1.91,-4.28,12.13
8.46,3.33,14.26
-9.18,-0.82,5.27
0.27,-10.84,8.29
-8.84,-11.97,8.71
4.99,-7.42,11.88
-2.6,-5.97,2.44
1.41,0.99,12.46
-7.63,4.19,10.72
-8.54,-5.55,0.75
-0.42,-0.52,8.47
-3.55,4.65,0.65
10.27,0.47,7.45
6.13,-1.37,8.94
5.74,-10.75,9.46
9.4,-6.63,13.7
-9.99,3.28,4.55
1.09,-8.68,12.5
1.86,2.11,6.81
10.78,-0.36,9.92
-5.05,-5.91,11.97
-6.27,-3.17,10.75
-9.59,-2.94,11.79
-11.57,-0.06,9.48
10.01,-3.38,11.87
3.88,-9.82,13.44
6.6,0.93,13.37
-5.3,-5.23,5.0
1.9,4.12,14.35
-10.45,-7.3,1.08
-0.48,-7.64,9.19
11.15,-6.46,7.43
8.76,-2.45,3.59
-3.97,2.97,8.01
10.77,-9.1,1.2
-6.48,-7.36,8.28
10.48,-2.29,12.65
10.29,-4.43,2.29
6.93,-4.54,4.96
2.94,1.73,9.4
8.71,3.46,5.46
-5.03,-3.97,6.27
8.11,-0.51,5.15
2.65,1.4,7.25
-11.65,-3.35,5.66
-3.75,-7.12,2.33
-8.46,-1.34,3.13
11.25,-2.23,1.39
-0.65,3.09,7.03
-0.2,-11.18,12.52
3.16,3.23,1.55
-3.25,-3.08,9.8
-8.72,-11.8,6.34
7.47,-6.27,12.89
-7.47,0.11,5.52
0.13,-3.85,10.32
-6.66,4.41,6.04
-9.65,-4.96,8.11
8.42,-6.57,11.49
11.04,1.74,14.29
10.75,-2.86,2.2
9.47,-0.6,7.92
6.34,1.48,2.16
-4.08,-0.78,0.68
-10.04,-4.96,11.1
-2.33,-9.96,14.52
-6.47,-2.31,8.89
